ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,lab_AggClu,lab_BIRCH,lab_KMean,lab_GMM
5008947,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2.0,0,1,0,1
5008951,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,3.0,1,1,1,1
5008966,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,2.0,0,0,0,1
5008991,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1.0,0,1,0,1
5009000,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,1,0,0,0,Drivers,2.0,1,1,1,1
5009016,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4.0,1,1,1,1
5009027,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19861,-10843,1,0,0,1,Laborers,2.0,0,0,0,0
5009031,F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,1,0,0,0,Accountants,1.0,0,1,0,0
5009033,F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,1,0,0,0,,2.0,0,1,0,1
5009042,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,-17641,-889,1,0,0,0,Core staff,2.0,0,1,0,1
5009050,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,-10997,-2289,1,0,0,1,Core staff,4.0,0,1,0,1
5009062,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,1,0,0,0,Sales staff,2.0,1,1,1,1
5009071,F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264,-3173,1,0,1,1,High skill tech staff,2.0,0,1,1,1
5009074,F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,-17726,-708,1,0,1,1,Core staff,3.0,0,0,0,1
5009078,M,N,Y,1,180000.0,Working,Secondary / secondary special,Married,With parents,-14122,-1286,1,0,0,0,Drivers,3.0,1,1,1,1
5009079,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,-10064,-3173,1,0,0,1,Laborers,2.0,1,1,1,1
5009083,M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20531,-5730,1,0,0,0,Drivers,2.0,1,1,1,1
5009088,M,Y,N,2,202500.0,Commercial associate,Higher education,Married,House / apartment,-14730,-2989,1,0,0,0,Laborers,4.0,0,1,0,1
5009090,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-12628,-4025,1,0,0,0,Drivers,2.0,0,0,0,1
5009096,F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13679,-4391,1,0,0,1,Accountants,3.0,1,1,1,1
5009099,F,N,Y,0,315000.0,Working,Higher education,Separated,House / apartment,-13271,-555,1,0,0,0,Managers,1.0,0,1,0,1
5009103,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,1,0,1,0,Drivers,4.0,1,1,1,1
5009116,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737,-432,1,0,0,0,,1.0,0,1,1,1
5009133,M,N,Y,0,382500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21673,365243,1,0,0,0,,1.0,0,1,1,1
5009141,F,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9657,-1560,1,1,1,0,Managers,2.0,1,1,1,1
5009145,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-15825,-3720,1,1,1,0,Managers,2.0,1,1,1,1
5009151,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,1,0,0,0,Sales staff,2.0,1,1,1,1
5009163,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12915,-3174,1,0,1,0,Sales staff,2.0,0,0,0,1
5009170,F,Y,N,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22877,365243,1,0,1,1,,2.0,0,1,0,0
5009177,M,Y,N,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,-18325,-1256,1,0,0,0,Laborers,2.0,1,1,1,1
5009213,F,N,N,0,270000.0,Working,Higher education,Married,House / apartment,-12333,-860,1,1,1,0,Accountants,2.0,0,1,0,1
5009220,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,1,1,0,0,Managers,2.0,1,1,1,1
5009238,M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,-10611,-982,1,0,1,0,Drivers,2.0,1,1,1,1
5009242,F,N,N,0,74250.0,Working,Higher education,Separated,Municipal apartment,-19082,-5243,1,0,1,0,Core staff,1.0,1,1,1,1
5009246,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14201,-2139,1,0,1,0,,2.0,0,1,0,1
5009249,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9957,-921,1,1,0,0,Drivers,3.0,1,1,1,1
5009260,F,N,N,0,202500.0,State servant,Higher education,Married,With parents,-14562,-1287,1,0,1,0,Core staff,2.0,1,1,1,1
5009265,M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,-10266,-1652,1,1,1,0,Managers,2.0,1,1,1,1
5009270,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14781,-2443,1,0,1,0,Laborers,2.0,0,0,0,1
5009278,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,1,0,1,0,Cleaning staff,2.0,0,1,0,0
5009295,F,N,N,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21041,365243,1,0,1,0,,2.0,1,1,1,1
5009297,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16099,-1866,1,0,1,0,Laborers,1.0,0,0,0,0
5009302,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22061,365243,1,0,0,0,,1.0,1,1,1,1
5009306,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20140,365243,1,0,1,1,,2.0,0,1,0,1
5009325,M,Y,N,0,267750.0,Working,Higher education,Married,House / apartment,-20991,-4727,1,0,1,0,Laborers,2.0,0,1,0,1
5009338,M,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18674,-5304,1,1,1,0,Security staff,2.0,0,0,0,1
5009340,M,Y,N,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,-10750,-2443,1,0,0,0,High skill tech staff,2.0,1,1,1,1
5009349,M,N,N,0,180000.0,Commercial associate,Lower secondary,Married,House / apartment,-21155,-130,1,0,1,0,Drivers,2.0,0,1,0,1
5009355,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19692,-5273,1,1,1,0,Laborers,2.0,0,0,0,1
5009359,F,Y,N,0,900000.0,Working,Higher education,Single / not married,House / apartment,-19063,-7404,1,0,0,0,Managers,1.0,0,1,0,1
5009361,M,Y,N,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-14867,-586,1,1,0,0,Drivers,2.0,1,1,1,1
5009368,M,Y,N,0,115290.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23187,365243,1,0,1,1,,2.0,0,1,0,1
5009378,F,N,N,2,225000.0,Working,Higher education,Married,House / apartment,-11281,-1744,1,1,0,1,Core staff,4.0,1,1,1,1
5009383,F,N,N,0,450000.0,State servant,Higher education,Married,House / apartment,-14718,-5578,1,0,1,0,Managers,2.0,0,1,0,1
5009389,M,N,N,0,279000.0,State servant,Higher education,Single / not married,House / apartment,-11042,-3174,1,0,0,0,Core staff,1.0,0,1,0,1
5009396,F,N,N,1,76500.0,Working,Higher education,Civil marriage,House / apartment,-12506,-495,1,1,0,0,Accountants,3.0,1,1,1,1
5009405,M,N,N,0,234000.0,Working,Incomplete higher,Married,House / apartment,-13923,-2290,1,1,1,0,Drivers,2.0,0,1,0,1
5009424,M,N,N,0,108000.0,Working,Secondary / secondary special,Single / not married,Co-op apartment,-8182,-1317,1,1,0,0,Cooking staff,1.0,1,1,1,1
5009428,M,N,N,0,198000.0,Working,Secondary / secondary special,Single / not married,With parents,-8657,-1164,1,1,0,0,Laborers,1.0,0,0,0,1
5009431,M,Y,N,0,360000.0,State servant,Higher education,Married,Municipal apartment,-14835,-1195,1,1,1,0,Drivers,2.0,0,1,0,1
5009435,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19940,365243,1,0,1,0,,2.0,1,1,1,1
5009445,F,Y,N,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-13855,-739,1,1,0,0,,2.0,0,0,0,0
5009450,F,N,N,0,202500.0,State servant,Higher education,Married,House / apartment,-17274,-1348,1,0,1,0,Laborers,2.0,1,1,1,1
5009473,F,N,N,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-13241,-4451,1,0,1,0,,2.0,0,1,0,1
5009484,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,Municipal apartment,-12130,-798,1,0,0,0,Cooking staff,2.0,1,1,1,1
5009487,F,N,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9736,-2870,1,0,0,0,,4.0,1,1,1,1
5009490,M,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16196,-6218,1,1,1,0,Laborers,2.0,0,1,0,1
5009493,M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11706,-1164,1,1,0,1,Drivers,2.0,1,1,1,1
5009512,F,N,N,0,157500.0,Working,Incomplete higher,Married,House / apartment,-16888,-2687,1,0,0,0,Core staff,2.0,1,1,1,1
5009526,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13590,-982,1,0,1,0,,2.0,0,1,0,1
5009536,M,Y,N,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,-15455,-890,1,1,0,0,Laborers,2.0,1,1,1,1
5009537,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15527,-1744,1,1,1,0,Sales staff,2.0,1,1,1,1
5009543,F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-18813,-9748,1,0,0,0,Laborers,2.0,1,1,1,1
5009565,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-15153,-3143,1,1,1,0,Laborers,2.0,0,1,0,1
5009575,F,Y,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17074,-798,1,0,0,0,Accountants,2.0,1,1,1,1
5009577,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21316,365243,1,0,0,0,,2.0,0,1,0,1
5009582,F,N,N,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,-11682,-678,1,0,0,0,Sales staff,1.0,0,1,0,1
5009585,F,N,N,0,45000.0,Working,Secondary / secondary special,Separated,House / apartment,-14374,-798,1,0,1,0,Sales staff,1.0,0,1,1,1
5009593,F,Y,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,-17383,-890,1,1,1,0,Core staff,2.0,0,1,0,0
5009602,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13455,-2748,1,1,1,0,Sales staff,2.0,1,1,1,1
5009603,F,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12872,-3720,1,1,0,0,Sales staff,3.0,0,0,0,1
5009607,F,N,N,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-12277,-982,1,1,1,0,High skill tech staff,4.0,0,1,0,1
5009617,M,Y,N,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17367,365243,1,0,0,0,,2.0,0,1,0,1
5009620,M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-19056,-99,1,1,0,0,Drivers,2.0,1,1,1,1
5009625,F,N,N,0,238500.0,Working,Secondary / secondary special,Married,House / apartment,-19305,-3296,1,1,0,0,Laborers,2.0,1,1,1,1
5009631,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-9890,-2047,1,0,1,0,Laborers,2.0,1,1,1,1
5009633,M,Y,N,1,144000.0,Working,Incomplete higher,Married,House / apartment,-10049,-283,1,1,0,0,Drivers,3.0,0,1,0,1
5009636,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21426,365243,1,0,1,0,,2.0,0,1,0,1
5009646,M,N,N,0,117000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14689,-3661,1,1,0,0,Low-skill Laborers,1.0,0,1,0,1
5009651,F,N,N,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-18650,-10936,1,0,1,0,,2.0,1,1,1,1
5009660,M,N,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,-10166,-1774,1,1,0,0,,1.0,1,1,1,1
5009664,F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-19191,365243,1,0,0,0,,1.0,1,1,1,1
5009673,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21688,365243,1,0,1,0,,1.0,1,1,1,1
5009689,F,N,N,0,153000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-23299,365243,1,0,1,0,,1.0,0,1,0,1
5009694,M,Y,N,0,1350000.0,Commercial associate,Higher education,Married,Municipal apartment,-12999,-1560,1,0,1,1,Managers,2.0,0,1,1,1
5009713,M,N,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9380,-1713,1,1,1,0,,1.0,0,1,0,1
5009719,F,N,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19316,-4451,1,1,1,0,,1.0,0,0,0,1
5009724,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,-9887,-2474,1,0,1,0,Sales staff,2.0,1,1,1,1
5009732,F,Y,N,0,270000.0,Commercial associate,Higher education,Married,House / apartment,-19341,-7314,1,1,1,0,Managers,2.0,1,1,1,1
5009736,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-14657,-4392,1,1,1,0,Core staff,2.0,0,1,0,1
5009742,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-12328,-2474,1,1,1,0,Sales staff,2.0,0,1,0,0
5009745,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,2.0,0,1,1,1
5009757,M,Y,N,0,270000.0,Working,Higher education,Single / not married,House / apartment,-9087,-1682,1,0,0,0,Laborers,1.0,1,1,1,1
5009762,M,N,N,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-14118,-3174,1,0,0,0,Laborers,1.0,0,1,0,1
5009783,M,Y,N,2,445500.0,State servant,Higher education,Married,Municipal apartment,-14906,-6826,1,1,0,0,Core staff,4.0,1,1,1,1
5009799,F,Y,N,0,382500.0,Working,Higher education,Married,House / apartment,-15435,-3965,1,1,1,0,,2.0,1,1,1,1
5009826,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-15759,-374,1,1,0,0,Sales staff,2.0,0,1,0,0
5009831,M,Y,N,0,166500.0,Working,Higher education,Married,With parents,-10435,-1713,1,1,0,0,Core staff,2.0,1,1,1,1
5009839,M,Y,N,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12636,-405,1,0,0,0,Laborers,2.0,1,1,1,1
5009843,F,N,N,0,81000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-17932,-1470,1,0,0,0,Sales staff,1.0,1,1,1,1
5009844,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-15901,-130,1,1,0,0,Security staff,2.0,0,1,0,1
5009846,M,N,N,0,225000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-12282,-405,1,0,1,0,Managers,2.0,1,1,1,1
5009847,F,N,N,0,99000.0,Commercial associate,Higher education,Married,House / apartment,-10084,-678,1,0,0,0,Sales staff,2.0,1,1,1,1
5009850,M,Y,N,0,360000.0,Commercial associate,Secondary / secondary special,Separated,With parents,-10276,-556,1,1,1,0,Drivers,1.0,0,1,0,1
5009864,M,Y,N,0,225000.0,Working,Higher education,Civil marriage,Rented apartment,-14555,-1226,1,1,0,0,Managers,2.0,0,1,1,1
5009872,M,Y,N,2,427500.0,Commercial associate,Higher education,Married,House / apartment,-15144,-6400,1,1,0,0,Managers,4.0,1,1,1,1
5009889,M,Y,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13172,-1195,1,0,0,1,Managers,1.0,0,1,1,1
5009893,F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,-11992,-2351,1,0,0,0,Private service staff,3.0,0,1,0,1
5009900,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19120,-3661,1,0,0,0,Drivers,2.0,1,1,1,1
5009914,F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,-12752,-433,1,0,1,0,Accountants,4.0,0,1,0,1
5009922,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,-19958,-7465,1,0,0,0,Laborers,2.0,0,0,0,1
5009944,F,N,Y,0,135000.0,Working,Incomplete higher,Single / not married,House / apartment,-8482,-1501,1,1,0,1,,1.0,0,1,0,1
5009945,F,Y,N,2,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12756,365243,1,0,0,1,,4.0,0,1,0,0
5009946,F,Y,Y,2,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-12690,-4451,1,0,0,0,Cooking staff,4.0,1,1,1,1
5009952,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16076,-7679,1,0,0,0,,2.0,1,1,1,1
5009957,F,Y,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16613,-3235,1,0,0,0,,3.0,1,1,1,1
5009965,F,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,-20644,-3873,1,0,0,0,Medicine staff,2.0,0,0,0,1
5009988,M,Y,Y,0,495000.0,Pensioner,Higher education,Single / not married,House / apartment,-22867,365243,1,0,0,0,,1.0,0,1,1,0
5009991,M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,Office apartment,-14749,-2382,1,0,0,1,Drivers,4.0,0,1,0,1
5009993,F,N,Y,0,135000.0,Working,Incomplete higher,Married,House / apartment,-16839,-3692,1,0,0,0,Managers,2.0,0,1,0,1
5009999,F,Y,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12330,-2809,1,0,1,1,Accountants,3.0,1,1,1,1
5010001,F,N,Y,2,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-12242,-2047,1,0,0,0,Core staff,4.0,1,1,1,1
5010020,F,N,N,0,99000.0,Commercial associate,Higher education,Single / not married,With parents,-10833,-2504,1,0,0,1,,1.0,1,1,1,1
5010036,F,N,Y,0,292500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21582,365243,1,0,0,0,,2.0,0,0,0,0
5010041,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-21889,-8469,1,1,0,0,Core staff,2.0,1,1,1,1
5010052,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18474,-3021,1,0,0,1,Cleaning staff,2.0,1,1,1,1
5010059,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16573,-4574,1,0,0,0,,2.0,0,1,1,0
5010067,F,N,Y,0,360000.0,Working,Secondary / secondary special,Widow,House / apartment,-18388,-7830,1,0,0,0,Core staff,1.0,0,0,0,0
5010072,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16757,-3508,1,0,0,0,Core staff,2.0,0,0,0,0
5010077,M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,Municipal apartment,-12518,-1135,1,0,0,0,Cleaning staff,4.0,1,1,1,1
5010081,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20931,-191,1,0,1,1,Security staff,2.0,1,1,1,1
5010088,F,Y,Y,0,112500.0,Working,Incomplete higher,Single / not married,With parents,-8128,-951,1,0,0,1,Sales staff,1.0,0,1,0,1
5010099,F,Y,Y,2,306000.0,State servant,Higher education,Married,House / apartment,-13541,-3965,1,0,0,0,Core staff,4.0,1,1,1,1
5010104,F,N,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22578,365243,1,0,0,0,,2.0,0,0,0,0
5010108,F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22118,365243,1,0,0,0,,2.0,0,1,1,1
5010113,F,Y,Y,0,202500.0,Pensioner,Higher education,Widow,House / apartment,-21269,365243,1,0,0,1,,1.0,0,1,0,1
5010117,F,N,Y,1,67500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-15397,-1894,1,1,1,0,Core staff,3.0,1,1,1,1
5010119,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-14170,-921,1,0,0,0,Managers,2.0,0,1,0,1
5010147,F,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12500,-5762,1,0,0,0,Managers,3.0,0,1,0,1
5010160,M,Y,Y,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,-22117,-1621,1,0,1,1,Security staff,2.0,0,1,0,0
5010172,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21300,-464,1,0,0,0,Laborers,2.0,0,1,0,1
5010175,M,Y,Y,2,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-18376,-4270,1,1,1,1,,4.0,0,0,0,0
5010182,M,N,N,1,247500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16797,-6583,1,0,1,0,Laborers,2.0,1,1,1,1
5010188,F,N,Y,0,76500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15602,-5061,1,0,1,0,Sales staff,2.0,1,1,1,1
5010192,F,Y,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23336,365243,1,0,0,0,,2.0,1,1,1,1
5010195,M,N,Y,0,360000.0,Working,Secondary / secondary special,Married,House / apartment,-18104,-1317,1,0,0,0,Drivers,2.0,1,1,1,1
5010196,F,N,Y,0,135000.0,Pensioner,Higher education,Single / not married,House / apartment,-23200,365243,1,0,1,0,,1.0,1,1,1,1
5010208,F,N,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-13764,-3996,1,0,0,1,Core staff,2.0,0,1,0,0
5010215,F,Y,Y,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-17532,-8044,1,0,0,0,Medicine staff,3.0,0,1,1,1
5010228,M,Y,Y,0,315000.0,Commercial associate,Incomplete higher,Married,House / apartment,-21572,-2170,1,0,0,0,Secretaries,2.0,1,1,1,1
5010234,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16507,-4331,1,0,0,0,Drivers,2.0,1,1,1,1
5010241,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-20145,-1043,1,0,0,0,Laborers,2.0,0,1,1,1
5010253,F,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,House / apartment,-19714,-8348,1,0,0,0,Managers,2.0,0,1,1,1
5010258,M,N,Y,1,562500.0,Working,Incomplete higher,Married,House / apartment,-13790,-5639,1,1,1,0,,3.0,1,1,1,1
5010296,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14918,-1866,1,0,0,0,Sales staff,2.0,0,1,0,1
5010302,F,N,Y,0,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20233,-6218,1,1,1,0,,2.0,0,0,0,1
5010305,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23413,365243,1,0,0,0,,2.0,1,1,1,1
5010309,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15109,-1956,1,0,0,0,Core staff,3.0,0,0,0,1
5010317,M,N,N,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-9493,-130,1,0,0,1,Cooking staff,2.0,0,1,0,0
5010346,F,N,Y,0,328500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20023,-1894,1,0,0,1,Managers,2.0,0,0,0,0
5010351,M,Y,N,1,180000.0,State servant,Incomplete higher,Married,With parents,-10591,-1195,1,0,0,0,Drivers,3.0,1,1,1,1
5010356,F,N,Y,0,310500.0,State servant,Higher education,Single / not married,House / apartment,-13141,-1317,1,0,0,1,Accountants,1.0,0,1,0,1
5010360,F,N,Y,2,67500.0,Working,Secondary / secondary special,Separated,House / apartment,-14832,-7404,1,1,0,0,,3.0,1,1,1,1
